name,year,imdb_id
To Be or Not to Be,1942,tt0035446
The Big Lebowski,1998,tt0118715
Autumn Sonata,1978,tt0077711
How to Train Your Dragon,2010,tt0892769
Dead Poets Society,1989,tt0097165
Mad Max: Fury Road,2015,tt1392190
Ben-Hur,1959,tt0052618
Harry Potter and the Deathly Hallows: Part 2,2011,tt1201607
Million Dollar Baby,2004,tt0405159
The Wages of Fear,1953,tt0046268
The Handmaiden,2016,tt4016934
Stand by Me,1986,tt0092005
Network,1976,tt0074958
96,2018,tt7019842
Logan,2017,tt3315342
Cool Hand Luke,1967,tt0061512
Gangs of Wasseypur,2012,tt1954470
Hachi: A Dog's Tale,2009,tt1028532
La Haine,1995,tt0113247
The 400 Blows,1959,tt0053198
Platoon,1986,tt0091763
A Silent Voice: The Movie,2016,tt5323662
Spotlight,2015,tt1895587
"Monsters, Inc.",2001,tt0198781
Rebecca,1940,tt0032976
Life of Brian,1979,tt0079470
Hotel Rwanda,2004,tt0395169
The Bandit,1996,tt0116231
In the Mood for Love,2000,tt0118694
Rush,2013,tt1979320
Into the Wild,2007,tt0758758
Rocky,1976,tt0075148
Amores perros,2000,tt0245712
Nausicaä of the Valley of the Wind,1984,tt0087544
Andrei Rublev,1966,tt0060107
It Happened One Night,1934,tt0025316
Before Sunset,2004,tt0381681
Fanny and Alexander,1982,tt0083922
Neon Genesis Evangelion: The End of Evangelion,1997,tt0169858
The Battle of Algiers,1966,tt0058946
Nights of Cabiria,1957,tt0050783
The Princess Bride,1987,tt0093779
"Paris, Texas",1984,tt0087884
Three Colors: Red,1994,tt0111495
